Property Name,Reported,Property Type,Address,ZIP, Gross Area (sq ft) ,Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built, GHG Emissions (MTCO2e) ,GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf), Onsite Renewable (kWh) ,User Submitted Info,User Submitted Link,Tax Parcel,Years Reported
191 Commonwealth Ave,Compliant,Multifamily Housing,191 Commonwealth Ave,02116,24000,119,,,Multifamily Housing,1872,155.8,6.5,2855530.9,0.061911866,0.938090736,,98.71,,,,502952000,"2018, "
1930-1960 Beacon St,Compliant,Multifamily Housing,1930-1960 Beacon St,02135,44954,38.7,,,"Multifamily Housing, Personal Services (Health/Beauty, Dry Cleaning, etc.), Restaurant, Retail Store",1920,105.9,2.4,1741128.6,0.327805966,0.672207659,,53.51,,,,2102396000,"2017, 2018, "
Claridge House,Compliant,Multifamily Housing,1933 Commonwealth Avenue,02135,12297,Not Available,,,Multifamily Housing,1988,Not Available,Not Available,Not Available,,,,Not Available,,"- Studio apartments counted as 1 bedroom
",,2102476000,"2014, 2015, 2016, 2017, 2018, "
Engine 30,Municipal ,Fire Station,1940 Centre St,02132,9600,103.6,,,Fire Station,2000,58.8,6.1,994128.4,0.256865041,0.743145476,,Not Available,,,,2005784000,"2016, 2017, 2018, "
Field Corp - 1940 and 1950 Commonwealth,Compliant,Multifamily Housing,1940-1950 Commonwealth Avenue,02135,60500,54.3,100,,Multifamily Housing,1912,243.2,4,3285775.5,0.046393758,0.014660211,,22.83,,,,2102471000,"2015, 2016, 2017, 2018, "
Bornstein & Pearl,Compliant,Food Service,196 Quincy St,02121,36000,170.7,,,Food Service,1930,381.4,10.6,6145354.3,0.379671957,0.620343747,,33.25,,,,1300952000,"2016, 2017, 2018, "
Anti Corruption,Municipal ,Police Station,1960 Washington St,02118,4200,50.5,,,Police Station,2000,13.7,3.3,212131.9,0.478966265,0.52105317,,Not Available,,,,801948000,"2016, 2017, 2018, "
1960-1980 Commonwealth Ave.,Compliant,Multifamily Housing,"1960,1970,1980 Commonwealth Ave.",02135,141204,90.8,52,,Multifamily Housing,1937,713.1,5.1,12819832.9,0.106654211,0.893350192,,33.29,,,,02469-000,"2015, 2016, 2017, 2018, "
West Roxbury Branch,Municipal ,Library,1961 Centre St,02132,23193,56.2,,,Library,2000,76.4,3.3,1302767.4,0.234492389,0.765517313,,Not Available,,,,2006569000,"2016, 2017, 2018, "
Flagship Wharf Condominium: 197 8th Street,Compliant,Multifamily Housing,197 8th Street,02129,590000,52,32,,Multifamily Housing,1989,1988.2,3.4,30653737,0.498580972,0.501439666,,15,, ,,203505100,"2015, 2016, 2017, 2018, "
School,Compliant,Other - Education,197 Center Street,021242339,37680,7.6,,,Other - Education,1925,21.9,0.6,285736.3,1.000041279,0,,7.92,,,,1601296000,"2016, 2017, 2018, "
YMCA of Greater Boston - Parkway,Compliant,Fitness Center/Health Club/Gym,1972 Centre St,02132,35998,335.4,,,"Fitness Center/Health Club/Gym, Swimming Pool",2016,704.1,19.6,12072511,0.220941686,0.779067462,,49.44,,"This property was built in year 1951, and remodeled, completed year 2016",,2002296000,"2017, 2018, "
198 Geneva Avenue,Compliant,Office,198 Geneva Avenue,02121,60000,98.1,66,,Office,1968,365.9,6.1,5887170.1,0.383941607,0.61607429,,18.03,,,,1400038000,"2014, 2015, 2016, 2017, 2018, "
HAMILTON,Municipal ,K-12 School,198 Strathmore Rd.,02135,31570,55.9,98,,K-12 School,1924,98.9,3.1,1764645.4,0.124602034,0.875403115,,Not Available,,,,2102501000,"2016, 2017, 2018, "
PHS-MGH-CNY Bldg 199,Compliant,Parking,199 13th St.,02129-2000,664937,3.5,,,Parking,1900,0,0,2306221.4,1.000041466,,,Not Available,,,,203510100,"2015, 2016, 2017, 2018, "
Continuum,Compliant,Multifamily Housing,199 N Harvard Street,02134,416976,36.3,,,"Multifamily Housing, Parking, Retail Store",2015,1006.3,2.4,15136928,0.567351144,0.432672338,,15.86,,,,2200534010,"2017, 2018, "
Perkins Manor,Compliant,Multifamily Housing,2 - 18 Perkins Square,02130,129236,42.2,100,,"Multifamily Housing, Parking",1927,404.8,3.1,5455870.6,0.144898755,0.017467849,,4531.28,,,,1002148001,"2016, 2017, 2018, "
105-129 Kingston Street,Compliant,Office,2 24 Edinboro Street,02111,75500,66,,,"Office, Retail Store",1910,349.8,4.6,4986011.9,0.365539479,,0.634475642,12.52,,,,304421000,"2014, 2015, 2016, 2017, 2018, "
2 Alger Street,Compliant,Self-Storage Facility,2 Alger Street,02127,42800,67.5,,,Self-Storage Facility,1970,177.6,4.2,2887678,0.356660434,0.643354277,,0.54,,,,700027001,"2016, 2017, 2018, "
2 Atlantic,Compliant,Office,2 Atlantic Avenue,02110,68035,101.7,54,,"Office, Parking",1998,472.8,6.9,6921940.5,0.644901692,0.355125006,,22.62,,"During 2014:  Construction renovation project on 3rd floor (about 18% of Building rsf) completed around July 2014. Mechanical system upgrade on 3rd floor completed around January 2015. Glycol system flush out occurred during November/December 2014.

During 2015:  Construction renovation project on the 4th floor; constructed intercommunicating stairway between the 3rd & 4th floors; additional rework construction on 3rd floor. These construction projects were completed around March 31, 2016.  Upgraded and replaced the cooling tower and roof, both of which were completed around February 2016.",,303030010,"2014, 2015, 2016, 2017, 2018, "
Lafayette City Center,Compliant,Office,2 Avenue de Lafayette,02111,611570,85.5,46,,"Office, Retail Store",1984,3985.4,6.5,52262606.2,0.982423233,0.017617428,,6.01,,,,304500200,"2014, 2015, 2016, 2017, 2018, "
Lefavour Hall,Compliant,College/University,2 Avenue Louis Pasteur,02115,122900,Not Available,,,College/University,1961,0,0,Not Available,,,,13.89,,,,401842000,"2015, 2016, 2017, 2018, "
Millennium Place Primary-South Tower,Compliant,Mixed Use Property,2 Avery Street,02111,895973,154.9,,,"Fitness Center/Health Club/Gym, Hotel, Movie Theater, Multifamily Housing, Office, Parking, Retail Store",2000,8908.7,9.9,138824162.5,0.469441272,0.530578157,,43.5,,Additional Boston Assessing Parcel ID's:  0304870020 and 0304870010,,304870400,"2014, 2015, 2016, 2017, 2018, "
Charlesgate West Associates,Compliant,Office,2 Charlesgate West,02115,46916,46.1,98,,"Office, Parking",1978,133.8,2.9,2162141.6,0.372551322,0.627464071,,2.29,,,,504176001,"2016, 2017, 2018, "
Two Clarendon,Compliant,Multifamily Housing,2 Clarendon Street,02116,53170,39.7,99,,Multifamily Housing,1985,133.3,2.5,2109264.4,0.427415281,0.572602464,,6851657,,,,400206000,"2014, 2015, 2016, 2017, 2018, "
2 Cummington Street (23-25 Blandford Street),Compliant,Laboratory,2 Cummington Street (23-25 Blandford Street),02215,61754,146.1,,,Laboratory,1905,579.4,9.4,9020647.1,0.50920223,0.49081884,,4.94,,,,2100295000,"2014, 2015, 2016, 2017, 2018, "
Orchard Gardens Community Center,Municipal ,Other - Recreation,2 Dearborn St,02119,10500,Not Available,,,Other - Recreation,2000,Not Available,Not Available,Not Available,,,,90.86,,,,802195010,"2016, 2017, 2018, "
2 - 12 Dudley Terrace,Voluntary,Multifamily Housing,2 Dudley Ter.,02125,14861,84.8,,,Multifamily Housing,1900,75.1,5.1,1260078,0.275545876,0.724465583,,50.71,,,,703926000,"2015, 2016, 2017, 2018, "
Hawthorne Place Condominium Trust,Compliant,Multifamily Housing,2 Hawthorne Place,02114,476544,70.1,65,,Multifamily Housing,1000,2003,4.2,33388907,0.291904497,0.708107583,,31.72,,,,300475000,"2015, 2016, 2017, 2018, "
2 Oliver St.,Compliant,Office,2 Oliver St.,02110,233763,40.2,95,,Office,1900,703.1,3,9398254.2,0.920948968,0.079089157,,10.45,,,,304026000,"2014, 2015, 2016, 2017, 2018, "
2 Park Plaza,Compliant,Retail Store,2 Park Plaza,02116,117000,Not Available,,,"Office, Retail Store",1800,Not Available,Not Available,Not Available,,,,Not Available,,,,500020000,"2016, 2017, 2018, "
Rollins Square,Compliant,Multifamily Housing,2 Rollins Street,02118,376000,54.6,88,,"Multifamily Housing, Retail Store",2003,1228,3.3,20520408.2,0.285596693,0.714415136,,25.02,,,,306455010,"2015, 2016, 2017, 2018, "
World Trade Center East-Boston,Compliant,Office,2 Seaport Lane,02210,486760,70,68,"2009, 2008","Office, Social/Meeting Hall",2000,2614,5.4,34092881.5,1.000041388,,,17.43,,,,602679035,"2014, 2015, 2016, 2017, 2018, "
Mount Pleasant,Compliant,Multifamily Housing,2 Waverly Street,02119,84000,40.6,95,,Multifamily Housing,1900,216.2,2.6,3410086.6,0.436841997,0.563176056,,32.81,,,,1200302000,"2015, 2016, 2017, 2018, "
Mt. Pleasant,Compliant,Multifamily Housing,2 Waverly Street,02119,64204,94.3,82,,"Multifamily Housing, Parking",1920,389.5,6.1,6056363.1,0.07462801,0.477663029,,4339.18,,,,1200302000,"2017, 2018, "
Santander Bank,Compliant,Financial Office,2 William T Morrissey Blvd.,02125,425737,79.1,,,"Bank Branch, Data Center, Financial Office, Parking",1956,2582.5,6.1,33682827.1,1.000041383,,,20.01,,,,1303403000 1303404000 1303405000                   ,"2016, 2018, "
Amory Terrace,Compliant,Multifamily Housing,20 Amory Avenue,02119,64085,29.3,99,,"Multifamily Housing, Parking",2005,133.9,2.1,1880416.9,0.767182231,0.232849419,,55.59,,,,"1101201010	1101202010","2015, 2016, 2017, 2018, "
Faros 20 Ashburton LLC,Compliant,Office,20 Ashburton Place,02108,55000,48.2,97,,Office,1968,191.2,3.5,2648917.1,0.563246411,,0.436776976,6.79,,,,302814000,"2017, 2018, "
Our Lady's Guild House,Compliant,Multifamily Housing,20 Charlesgate West,02215,58320,80.2,84,,Multifamily Housing,1899,253.1,4.3,4677576,0.04235123,0.957650517,,41.96,,,,503917001,"2017, 2018, "
Cheriton Grove Apartments,Compliant,Multifamily Housing,20 Cheriton Rd,02132,43174,82.8,32,,Multifamily Housing,1986,225.5,5.2,3575077.7,0.423401401,0.576616154,,30.56,,,,2011777000,"2015, 2016, 2017, 2018, "
Veronica Smith Senior Center,Municipal ,Other,20 Chestnut Hill Ave,02135,13100,Not Available,,,Other,2000,Not Available,Not Available,Not Available,,,,Not Available,,,,2205513000,"2016, 2017, 2018, "
AGASSIZ,Municipal ,K-12 School,20 Child St.,02130,115400,64.2,70,,K-12 School,1972,449.2,3.9,7412579.4,0.317618995,0.682394176,,Not Available,,,,1103019000,"2016, 2017, 2018, "
QUINCY CHURCH,Municipal ,K-12 School,20 Church St.,02116,17640,42.3,97,,K-12 School,1999,46.7,2.6,746351.3,0.4009208,0.599095885,,Not Available,,,,500745000,"2016, 2017, 2018, "
20 City Hall Ave,Municipal ,Office,20 City Hall Ave,02108,9680,190.5,13,,Office,2000,111.4,11.5,1843600.2,0.127021752,0.547075237,0.32590835,Not Available,,,,302865000,"2016, 2017, 2018, "
20 Custom House,Compliant,Office,20 Custom House,02110,96032,134.9,31,,Office,1984,993.2,10.3,12954446.1,1.000041384,,,30.75,,"Water Meter # 0811;0385;0803
Water Acct # 114039001;114046001;114106000


",,303998000,"2014, 2015, 2016, 2017, 2018, "
FIFIELD,Municipal ,K-12 School,20 Dunbar,02115,31654,62.7,95,,K-12 School,1916,112.1,3.5,1985696.5,0.140999522,0.85900634,,Not Available,,,,1701736000,"2016, 2017, 2018, "
10/20 Guest Street,Compliant,Office,20 Guest Street,02135,218104,81.2,,,Office,1999,1340.2,6.1,17700050.7,0.959494486,0.040545217,,3.22,,,,01906-012,"2014, 2015, 2016, 2017, 2018, "
Connell House,Compliant,Office,20 Harvard Way,02163,6067,28.9,99,,Office,1940,12.4,2,175607,0.403860219,,0.596156759,7.23,,"Until Jan 2017, water was allocated by gross square footage for this property, and did not represent actual usage. 2017 monthly readings are accurate.

Steam usage is allocated as 3% of the meter shared with Gallatin, Hamilton, Morris, Loeb, Ludcke, Wyss. Allocation is by GSF.",,2200530000,"2014, 2015, 2016, 2017, 2018, "
WHEATLEY,Municipal ,K-12 School,20 Kearsarge Ave.,02119,55351,47,97,,K-12 School,1929,152.7,2.8,2600227,0.238205745,0.76180414,,Not Available,,,,1200044000,"2016, 2017, 2018, "
EBNHC - Maverick,Compliant,Urgent Care/Clinic/Other Outpatient,20 Maverick Square,02128,47777,112.3,,,Urgent Care/Clinic/Other Outpatient,2012,356.9,7.5,5367049.9,0.567825123,0.432198402,,17.14,,,,105658010,"2017, 2018, "
SHAW RG,Municipal ,K-12 School,20 Mt. Vernon St.,02132,93374,52.8,95,,K-12 School,1919,280.6,3,4933632.6,0.160019989,0.839986667,,Not Available,,,,2007832000,"2016, 2017, 2018, "
Museum of Fine Arts Parking Garage,Compliant,Parking,20 Museum Rd,02115,163000,6.2,,,Parking,1987,77.6,0.5,1012185.5,1.000041506,,,0.29,,,,401808000,"2014, 2016, 2017, 2018, "
Lewenberg,Municipal ,K-12 School,20 Outlook Rd.,02126,120944,53.7,91,,K-12 School,1930,375.9,3.1,6496760.8,0.201699396,0.798308943,,Not Available,,,,1405014000,"2016, 2017, 2018, "
20 Radcliffe Rd,Compliant,Multifamily Housing,20 Radcliffe Rd,02134,36552,37.5,98,,Multifamily Housing,1968,86.1,2.4,1368966.1,0.368612644,0.580949346,,52.28,,,,2100964001,"2017, 2018, "
CLJ Reed Building,Compliant,Worship Facility,20 Reed St,02118-1823,38520,9254.3,1,,Worship Facility,2011,27331.6,709.5,356476939.1,1.000041388,,,1.99,,,,801715000,"2018, "
Curtis Hall Community Center,Municipal ,Other - Recreation,20 S St,02130,37995,89.4,,,Other - Recreation,2000,201.7,5.3,3395037,0.267769796,0.732241292,,Not Available,,,,1901289000,"2016, 2017, 2018, "
20 Somerset Building,Compliant,College/University,20 Somerset Street,02108,103599,0.2,,,College/University,2015,1.4,0,18272.5,1.000048341,,,20.22,,,,302782000,"2016, 2017, 2018, "
MEEI - SERI,Compliant,Laboratory,20 Staniford St,02114,71900,526.2,,,Laboratory,2004,2667.6,37.1,37834165.7,0.400882309,0.000637331,0.598496951,101.31,,,,300624000,"2014, 2015, 2016, 2017, 2018, "
A-15 Station,Municipal ,Police Station,20 Vine St,02129,20000,109,,,Police Station,2000,140.9,7,2179795.2,0.490132418,0.509887798,,Not Available,,,,202644020,"2016, 2017, 2018, "
TAFT,Municipal ,K-12 School,20 Warren St.,02135,113199,53.1,94,,K-12 School,1895,342.6,3,6010938,0.164751318,0.835255491,,Not Available,,,,2101240000,"2016, 2017, 2018, "
20 Winthrop Square/ 77-93 Franklin Street/80 Arch Street,Compliant,Office,20 Winthrop Square/ 77-93 Franklin Street/80 Arch Street,02110,118000,79.4,,,Office,1873,665.3,5.6,9363339.3,0.453342108,,0.546676654,10.8,,"This property is a complex of 3 buildings with shared systems & we are reporting the 1 complex of 3 buildings.  The other Parcel ID#'s associated with this property are 0304617000 85 Franklin and 0304616000 Winthrop LA  (aka 77 Franklin) For BERDO reporting- aggregate electric data for the property was obtained from Eversource via the BERDO portal.  Water and Steam periods based on billing cycles for BWSC & Veolia.  Please Note: there was an issue involving the building's steam system in December 2017 which contributed to the increased usage in steam and water.     

Default values were used for  # of computers, operating hours & # of workers.  ",,0304615000 0304617000  0304616000 ,"2014, 2015, 2016, 2017, 2018, "
Clarendon and Berkeley Buildings,Compliant,Financial Office,200 Berkeley St &&,02116,1624928,54.7,96,"2017, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005","Data Center, Financial Office",1922,6515.3,4,88932045.2,0.668056844,,0.331970806,6.84,,LEED-EBOM Project #1000006167,,401115000,"2014, 2015, 2016, 2017, 2018, "
Engine 04,Municipal ,Fire Station,200 Cambridge St,02129,18150,62.9,,,Fire Station,2000,69.7,3.8,1141220.2,0.33717175,0.662842279,,Not Available,,,,300139000,"2016, 2017, 2018, "
200 Clarendon Street,Compliant,Office,200 Clarendon Street,02116,2039631,91.4,81,"2018, 2016, 2009, 2008, 2007, 2006, 2005","Office, Parking",1976,13417.2,6.6,186403181.7,0.543276853,,0.456745631,11.32,,,,401134000,"2014, 2015, 2016, 2017, 2018, "
Engine 07,Municipal ,Fire Station,200 Columbus Ave,02116,11376,96.5,,,Fire Station,2000,83,7.3,1098234.8,0.955335207,0.044704465,,Not Available,,,,501129000,"2016, 2017, 2018, "
Tow Lot,Municipal ,Other - Public Services,200 Frontage Rd,02118,46154,25,,,Other - Public Services,2000,88.6,1.9,1155900.9,0.999952138,8.9108E-05,,Not Available,,,,801024035,"2016, 2017, 2018, "
B002-PosnerHall,Compliant,College/University,200 Harrison Ave,02111,61259,84.8,,,College/University,1951,317.9,5.2,5192375.2,0.344176361,0.655837912,,25.7,,,,305081000,"2014, 2015, 2016, 2017, 2018, "
HENNIGAN,Municipal ,K-12 School,200 Heath St.,02130,137800,118.3,38,,"K-12 School, Swimming Pool",1972,922.2,6.7,16302745,0.146505501,0.853500566,,Not Available,,,,1001673000,"2016, 2017, 2018, "
"Two Hundred Mortgage Associates, L.P.",Compliant,Office,200 High Street,02110,96393,98.2,,,Office,1900,679.5,7,9462536.1,0.793778021,0.206254812,,26.82,,,,0304042000 0304043010 0304044000,"2014, 2015, 2016, 2017, 2018, "
EF Campus - International House,Compliant,Other - Education,200 Lake Street,02135,144000,27.9,,,Other - Education,1911,274.9,1.9,4018849.8,0.648558087,0.351468728,,24.37,,,,2204704000,"2015, 2017, 2018, "
Warren Alpert (WAB),Compliant,Laboratory,200 Longwood Ave,02115,199440,405.8,,,"Laboratory, Parking",1992,5247.3,26.3,80928900.9,0.233419865,0.002735735,0.477593881,99.41,,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies the majority of utilities (Steam, Chilled Water and Electricity) for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered. WAB building operates a 24/7 critical environment laboratory for scientific research.  ",,401882000,"2014, 2015, 2016, 2017, 2018, "
Training Academy / Fire Academy,Municipal ,Fire Station,200 Moon Island,02169,7007,39.7,,,Fire Station,2000,21.3,3,278436.8,1.000042022,,,Not Available,,,,107066000,"2016, 2017, 2018, "
200 Newbury Street,Compliant,Retail Store,200 Newbury Street,02116,48000,43.5,51,,"Office, Parking, Retail Store",1995,160,3.3,2087375.2,1.000041383,,,13.56,,,,503201000,"2016, 2017, 2018, "
the finch group 200,Compliant,Restaurant,200 portland st,02114,100868,Not Available,,,Restaurant,1890,Not Available,Not Available,Not Available,,,,1.58,,,,301672000,"2016, 2017, 2018, "
World Trade Center,Compliant,Office,200 Seaport Blvd,02210,804426,63.1,,,"Convenience Store without Gas Station, Fast Food Restaurant, Food Sales, Non-Refrigerated Warehouse, Office, Other, Restaurant, Retail Store, Social/Meeting Hall",1986,3893.2,4.8,50777667,1.000041386,,,13.48,,,,602672052,"2014, 2015, 2017, 2018, "
200 State Street,Compliant,Office,200 State Street,02109,365702,77.8,63,,"Office, Parking",1986,2180.1,6,28434935.4,1.000041394,,,11.57,,,,303790002,"2014, 2016, 2017, 2018, "
Revere Hotel,Compliant,Hotel,200 Stuart Street,02116-5442,312000,87.8,67,,"Hotel, Parking",1971,1946.3,6.2,27380219.1,0.598730867,0.110381373,0.290912537,29.69,,,,500135000,"2015, 2016, 2017, 2018, "
Four Seasons Place - Hotel/Condo Management,Compliant,Hotel,200/220 Boylston Street,02116,798170,61.5,62,,"Hotel, Multifamily Housing, Parking, Swimming Pool",1980,3472.7,4.4,49071323.5,0.605433199,0.139193135,0.255398728,25.24,,"Four Seasons Place Assessing Parcel ID is  0501185000.  This benchmarking covers both hotel and condo properties as both are in the same building.

Gas - Direct Energy10073 is now Sprague Operating Resources LLC	79069000 effective 1/6/2015.  ",,501185000,"2014, 2015, 2016, 2017, 2018, "
BC 2000 Comm Ave,Compliant,Multifamily Housing,2000 Commonwealth Ave,02135,286498,46.6,85,2017,Multifamily Housing,2008,838.5,2.9,13344649.3,0.412712432,0.587304642,,0,,"WAS UNDER RENOVATION
2102464000
2102464002
2102464004
2102464006
2102464008
2102464010
2102464012
2102464014
2102464016
2102464018
2102464020
2102464022
2102464024
2102464026
2102464028
2102464030
2102464032
2102464034
2102464036
2102464038
2102464040
2102464042
2102464044
2102464046
2102464048
2102464050
2102464052
2102464054
2102464056
2102464058
2102464060
2102464062
2102464064
2102464066
2102464068
2102464070
2102464072
2102464074
2102464076
2102464078
2102464080
2102464082
2102464084
2102464086
2102464088
2102464090
2102464092
2102464094
2102464096
2102464098
2102464100
2102464102
2102464104
2102464106
2102464108
2102464110
2102464112
2102464114
2102464116
2102464118
2102464120
2102464122
2102464124
2102464126
2102464128
2102464130
2102464132
2102464134
2102464136
2102464138
2102464140
2102464142
2102464144
2102464146
2102464148
2102464150
2102464152
2102464154
2102464156
2102464158
2102464160
2102464162
2102464164
2102464166
2102464168
2102464170
2102464172
2102464174
2102464376",,2102464000,"2015, 2016, 2017, 2018, "
Washington Street Bus Lot,Compliant,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",2000 Washington St,02119,65848,Not Available,,,"Parking, Repair Services (Vehicle, Shoe, Locksmith, etc.)",1985,Not Available,Not Available,Not Available,,,,Not Available,,,,801946000,"2017, 2018, "
,Compliant,,201 - 241 Stuart Street,,,,,,,,,,,,,,,,Due to technical difficulties outside of the reporters control the building wasn't able to supply its data in time for disclosure. The City has marked it as compliant as it will be supplying it's data in the near future.,,500139000,
201 Newbury,Compliant,Multifamily Housing,201 Newbury Street,02116,66858,48.3,,,"Lifestyle Center, Multifamily Housing",1876,247.7,3.7,3230481.6,1.000041405,,,Not Available,,"NKF manages Parcel ID: 0503228074. Information for other residential units was provided by utility company. 

The water data currently reported in this profile does not include the multifamily water consumption. The multifamily portion of the building accounts for approximately 63% of the total building square footage. This data was unattainable from the management team which services that portion of the property. The service representatives from the BERDO support team advised out team to submit the profile as such.   ",,503228000,"2017, 2018, "
Archives Building,Municipal ,Non-Refrigerated Warehouse,201 Rivermoor St,02132,119454,22.2,97,,Non-Refrigerated Warehouse,2000,140.8,1.2,2651518.9,,0.999999984,,Not Available,,,,2009228000,"2016, 2017, 2018, "
201-207 South Street,Compliant,Office,201-207 South Street,02111,70006,77,83,,Office,1909,334.9,4.8,5392238.1,0.381564051,0.618451704,,29.5,,,,05348-000,"2014, 2015, 2016, 2017, 2018, "
2014 Columbus Ave,Compliant,Multifamily Housing,2014 Columbus Ave,02119,8640,55.3,,,Multifamily Housing,1920,26.4,3.1,477369.7,0.090303836,0.909699626,,60.07,,,,1101626000,"2015, 2016, 2017, 2018, "
UE Apartments,Compliant,Multifamily Housing,2014-2030 Columbus Ave,02119,38720,48.1,100,,"Multifamily Housing, Parking",1920,104.1,2.7,1860568,0.119507704,0.880497264,,51.86,,,,1101626000,"2015, 2016, 2017, 2018, "
2018 Columbus Ave,Compliant,Multifamily Housing,2018 Columbus Ave,02119,8640,47.1,,,Multifamily Housing,1920,23.3,2.7,407004.2,0.172804327,0.827202796,,30.52,,,,1101626000,"2015, 2016, 2017, 2018, "
2018 Commonwealth Avenue,Compliant,Multifamily Housing,2018 Commonwealth Avenue,92116,19824,12.6,100,,Multifamily Housing,1900,18.9,1,249140.8,1.000041623,,,Not Available,,,,2102462000,"2017, 2018, "
2020-2030 Columbus Ave,Compliant,Multifamily Housing,2020-2030 Columbus Ave,02119,21440,45.5,,,Multifamily Housing,1920,54.4,2.5,976194.1,0.111567429,0.888437027,,57.16,,,,1101626000,"2015, 2016, 2017, 2018, "
20-28 Cummington Street (24 Cummington St),Compliant,Laboratory,20-28 Cummington Street (24 Cummington St),02215,188575,342.2,,,Laboratory,1983,4311.6,22.9,64539763.8,0.627395823,0.372630144,,59.3,,,,2100288000,"2014, 2015, 2016, 2017, 2018, "
Shattuck Int’l House,Compliant,Multifamily Housing,203 Park Drive,02215,60077,57.3,93,"2017, 2016, 2015, 2014, 2013, 2012, 2006",Multifamily Housing,1920,204.6,3.4,3442172.3,0.268185071,0.731826088,,31.15,,,,2100005010,"2014, 2015, 2016, 2017, 2018, "
Egleston Branch,Municipal ,Library,2044 Columbus Ave,02119,6000,98.2,,,Library,2000,35.9,6,589105.6,0.334048444,0.665965516,,Not Available,,,,1101624000,"2016, 2017, 2018, "
Commonwealth Properties LP: 2045 Commonwealth Avenue,Compliant,Multifamily Housing,2045 Commonwealth Avenue,02135,27080,103.4,36,,Multifamily Housing,1920,155.6,5.7,2800215.7,0.104228023,0.895776319,,45.47,,,,2205301000,"2017, 2018, "
Dudley Greenville,Compliant,Multifamily Housing,205 Dudley St,02119,35873,80.7,66,,"Multifamily Housing, Parking",2014,170.3,4.7,2894510.1,0.24260484,0.757405253,,53.51,,,,1200023010,"2018, "
205 Portland Street,Compliant,Other,205 Portland Street,02114,47500,12.3,,,Other,1900,33.6,0.7,583396.5,0.191638464,0.80836966,,Not Available,,,,301651000,"2015, 2016, 2017, 2018, "
TIMILITY,Municipal ,K-12 School,205 Roxbury St.,02119,83120,43.3,98,,K-12 School,1937,209.4,2.5,3596543,0.21645233,0.78355665,,Not Available,,,,903337000,"2016, 2017, 2018, "
LATIN ACADEMY,Municipal ,K-12 School,205 Townsend St.,02121,332366,43.3,90,,K-12 School,1926,858.4,2.6,14385060.7,0.27834948,0.721662036,,Not Available,,,,1201973000,"2016, 2017, 2018, "
Spencer House: 2053R Columbus Ave,Compliant,Multifamily Housing,2053 Columbus Ave,02119,51897,58.2,42,,Multifamily Housing,2007,185.1,3.6,3020820,0.346445748,0.653568647,,36.11,,"basement need square footage-community spaces, live-in apt, and mechanical rooms",,1101588600,"2015, 2016, 2017, 2018, "
Carleton House: 2055 Columbus Ave,Compliant,Multifamily Housing,2055 Columbus Ave,02119,32569,87.4,23,,Multifamily Housing,2005,169.2,5.2,2845612.1,0.291111664,0.708900349,,37.72,,historic building,,1101588100,"2017, 2018, "
Trinity Church,Compliant,Worship Facility,206 Clarendon Street,02116,65880,91.8,,,Worship Facility,1877,425.1,6.5,6051072,0.37739546,0.001693376,0.620926755,18.61,,,,401091000,"2014, 2017, 2018, "
Evergreen Cemetery Administration Building,Municipal ,Office,2060 Commonwealth Ave,02135,1800,Not Available,,,Office,2000,Not Available,Not Available,Not Available,,,,Not Available,,,,2102444000,"2016, 2017, 2018, "
206-214 Newbury Street,Compliant,Office,206-214 Newbury Street,02116,44075.2,82.7,,,"Office, Retail Store",1930,276.2,6.3,3646268.2,0.910768369,,0.089269297,1.43,,,,503227000,"2018, "
Engine 49,Municipal ,Fire Station,209 Neponset Valley Parkway,02122,6750,21.7,,,Fire Station,2000,11.2,1.7,146560.6,1.000040233,,,Not Available,,,,1809746000,"2016, 2017, 2018, "
Twenty-One Beacon Condominium,Compliant,Multifamily Housing,21 Beacon Street,02108,94785,161.4,9,,"Convenience Store without Gas Station, Multifamily Housing, Office, Other - Restaurant/Bar",1900,887.7,9.4,15297566.5,0.208712843,0.791295796,,72.06,,,,302807000,"2015, 2016, 2017, 2018, "
Mission Main II - 21 Cornelia St,Compliant,Multifamily Housing,21 Cornelia St,02120,102879,51.7,88,,"Multifamily Housing, Parking",2000,319.4,3.1,5313817.9,0.296752132,0.703260128,,48.96,,"This parcel consists of 4 buildings that share natural gas and water meters.
45 Horadan Way: 26000 sf, 9 units
34 St Alphonsus St: 19180 sf, 17 units
60 McGreevey Way: 32126 sf, 12 units
21 Cornelia St: 25573 sf, 16 units",,1000001020,"2015, 2016, 2017, 2018, "
Mission Main II,Compliant,Multifamily Housing,21 Cornelia Street,02120,255574,56.5,87,,"Multifamily Housing, Parking",2000,862.1,3.4,14438246.3,0.279914629,0.720096942,,54.83,,This property contains 4 parcels consisting of 11 buildings.,,"1000001020	1000001021	1000001030	1000001031	1000001040	1000001041	1000001045","2015, 2016, 2017, 2018, "
