OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Address,City,State,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,DefaultData,ComplianceStatus,Outlier
1,2017,NonResidential,Hotel,Mayflower park hotel,405 Olive way,Seattle,WA,98101,0659000030,7,DOWNTOWN,47.6122,-122.33799,1927,1,12,"88,434",0,"88,434",Hotel,Hotel,"88,434",,,,,,63,83.1999969482422,82.3000030517578,184.399993896484,181.600006103516,"7,361,655","7,274,452.5","2,122,835.75","1,157,783.125","3,950,356.0225","12,884.6298828125","1,288,462.98828125",197.625577682757,2.23472394873868,N,Compliant,
2,2017,NonResidential,Hotel,Paramount Hotel,724 Pine street,Seattle,WA,98101,0659000220,7,DOWNTOWN,47.61317,-122.33393,1996,1,11,"103,566","15,064","88,502","Hotel, Parking, Restaurant",Hotel,"83,880",Parking,"15,064",Restaurant,"4,622",,72,88.1999969482422,86.8000030517578,163.800003051758,159.800003051758,"7,804,844.5","7,678,810.5",,"884,161","3,016,757.332","47,880.8671875","4,788,086.71875",266.775935504446,2.57590266597576,N,Compliant,
3,2017,Campus,Hotel,84SC9-The Westin Seattle,1900 5th Avenue,Seattle,WA,98101,0659000475,7,DOWNTOWN,47.61393,-122.3381,1969,1,41,"956,110","196,718","759,392","Hotel, Parking, Swimming Pool",Hotel,"756,493",Parking,"138,635",Swimming Pool,0,,48,98.4000015258789,98.1999969482422,242.899993896484,242.600006103516,"74,470,328","74,311,368","24,313,482","14,276,917","48,712,840.804","14,440.0009765625","1,444,000.09765625","1,570.75229225677",1.64285729911492,N,Compliant,
5,2017,NonResidential,Hotel,HOTEL MAX,620 STEWART ST,SEATTLE,WA,98101,0659000640,7,DOWNTOWN,47.61412,-122.33664,1926,1,10,"61,320",0,"61,320",Hotel,Hotel,"61,320",,,,,,51,120.199996948242,119.00,234.300003051758,230.300003051758,"7,372,221.5","7,294,312","2,228,119.5","881,744.875","3,008,513.5135","21,355.87890625","2,135,587.890625",244.316876188672,3.98429347991964,N,Compliant,
8,2017,NonResidential,Hotel,WARWICK SEATTLE HOTEL (ID8),401 LENORA ST,Seattle,WA,98121,0659000970,7,DOWNTOWN,47.61375,-122.34047,1980,1,18,"175,580","62,000","113,580","Hotel, Parking, Swimming Pool",Hotel,"123,445",Parking,"68,009",Swimming Pool,0,,78,116.099998474121,114.099998474121,209.899993896484,205.50,"14,335,778","14,081,251",,"1,523,505.75","5,198,201.619","91,375.7578125","9,137,575.78125",506.802169487087,2.8864458906885,N,Compliant,
9,2017,Nonresidential COS,Other,West Precinct,810 Virginia St,Seattle,WA,98101,0660000560,7,DOWNTOWN,47.61623,-122.33657,1999,1,2,"97,288","37,198","60,090","Parking, Police Station",Police Stat,"50,755",Parking,"40,971",,,,,261.100006103516,261.00,591.700012207031,591.400024414063,"13,250,532","13,249,402",,"2,260,023.25","7,711,199.329","55,393.3125","5,539,331.25",326.095944512214,3.351861940961,Y,Not Compliant,
10,2017,NonResidential,Hotel,Camlin,1619 9th Avenue,Seattle,WA,98101,0660000825,7,DOWNTOWN,47.6139,-122.33283,1926,1,11,"83,008",0,"83,008",Hotel,Hotel,"81,352",,,,,,33,72.50,70.8000030517578,148.600006103516,143.300003051758,"5,901,084","5,763,338.5",,"826,919.875","2,821,450.6135","30,796.328125","3,079,632.8125",175.231943622025,2.11102476414352,N,Compliant,
11,2017,NonResidential,Other,Paramount Theatre,911 Pine St,Seattle,WA,98101,0660000955,7,DOWNTOWN,47.61327,-122.33136,1926,1,8,"102,761",0,"102,761",Other - Entertainment/Public Assembly,Other - Ent,"102,761",,,,,,,71.5999984741211,69.8000030517578,161.800003051758,159.699996948242,"7,356,191.5","7,176,510","2,886,288.75","1,186,507.125","4,048,362.3105","4,215.39990234375","421,539.990234375",192.574752690984,1.87400621530526,N,Compliant,
12,2017,NonResidential,Hotel,311wh-Pioneer Square,612 2nd Ave,Seattle,WA,98104,0939000080,7,DOWNTOWN,47.60294,-122.33263,1904,1,15,"163,984",0,"163,984",Hotel,Hotel,"163,984",,,,,,44,90.50,89.9000015258789,188.199996948242,186.100006103516,"14,847,579","14,735,695",,"2,141,435.5","7,306,577.926","75,410.00","7,541,000.00",430.730609518284,2.62666241534713,N,Compliant,
13,2017,Multifamily MR (5-9),Mid-Rise Multifamily,Lyon Building,607 - 3rd Ave.,Seattle,WA,98104,0939000105,7,DOWNTOWN,47.60284,-122.33184,1910,1,6,"63,712","1,496","62,216",Multifamily Housing,Multifamily,"56,132",,,,,,2,89.8000030517578,89.50,189.50,189.100006103516,"5,042,044.5","5,022,714.5","1,511,604","716,596.1875","2,445,026.19175","10,854.1396484375","1,085,413.96484375",148.120187019115,2.3248397008274,N,Compliant,
15,2017,NonResidential,Hotel,Hotel Monaco Seattle,1101 4th Avenue,Seattle,WA,98101,0942000145,7,DOWNTOWN,47.60695,-122.33414,1969,1,11,"153,163","19,279","133,884",Hotel,Hotel,"133,884",,,,,,35,120.00,119.199996948242,227.00,225.899993896484,"16,066,496","15,958,532","5,702,268","1,773,678.25","6,051,790.189","43,124.375","4,312,437.50",557.20923975197,3.63801466249662,N,Compliant,
16,2017,NonResidential,Hotel,42SCF-W Seattle,1112 Fourth Avenue,Seattle,WA,98101,0942000165,7,DOWNTOWN,47.60713,-122.33323,1998,1,25,"333,176","61,161","272,015",Hotel,Hotel,"314,559",,,,,,38,88.4000015258789,87.0999984741211,217.199996948242,213.100006103516,"27,806,852","27,384,446","6,340,211.5","5,351,476.5","18,259,237.818","32,074.001953125","3,207,400.1953125",582.938004786905,1.74963984436726,N,Compliant,
17,2017,NonResidential,Hotel,Executive Pacific Plaza,400 Spring Street,Seattle,WA,98104,0942000210,7,DOWNTOWN,47.60699,-122.33346,1928,1,9,"65,009",0,"65,009",Hotel,Hotel,"65,009",,,,,,94,73.00,73.00,88.50,88.50,"4,742,757","4,742,757","1,569,480.875","74,412.3984375","253,895.10346875","29,193.80859375","2,919,380.859375",239.534021276704,3.68462860952644,N,Compliant,
18,2017,NonResidential,Hotel,Crowne Plaza Hotel Seattle,1113 6th Ave,Seattle,WA,98101,0942000235,7,DOWNTOWN,47.60809,-122.33212,1980,1,33,"353,111","57,600","295,511","Hotel, Parking",Hotel,"295,511",Parking,"57,600",,,,65,75.4000015258789,,176.699996948242,,"22,282,796",,,"4,010,593.5","13,684,145.022","72,189.7890625","7,218,978.90625",440.012750924934,1.24610321095897,N,Compliant,
19,2017,NonResidential,Hotel,Hotel Vintage Seattle,1100 5th Avenue,Seattle,WA,98101,0942000265,7,DOWNTOWN,47.60755,-122.33244,1922,1,11,"92,190","25,200","66,990","Hotel, Parking",Hotel,"67,390",Parking,"25,200",,,,34,172.199996948242,171.300003051758,310.799987792969,309.700012207031,"11,603,445","11,542,387","5,626,128","1,108,215.625","3,781,231.7125","21,960.841796875","2,196,084.1796875",431.368484725379,4.67912446822192,N,Compliant,
21,2017,Nonresidential COS,Other,The Seattle Public Library - Central Library,1000 Fourth Avenue,Seattle,WA,98154,0942000275,7,DOWNTOWN,47.60649,-122.33297,2004,1,11,"412,000","57,000","355,000","Data Center, Library, Parking",Library,"364,913",Parking,"49,000",Data Center,"1,074",,,43.7000007629395,43.5999984741211,133.199996948242,133.100006103516,"15,986,807","15,965,283","753,683.625","4,464,572.5","15,233,121.37",,,103.087705386869,0.250212877152596,N,Compliant,
22,2017,NonResidential,Other,Downtown Seattle YMCA,909 4th Avenue,Seattle,WA,98104,0942000350,7,DOWNTOWN,47.60546,-122.33279,1930,1,6,"103,911",0,"103,911","Fitness Center/Health Club/Gym, Office, Swimming Pool",Fitness Cen,"90,000",Office,"40,000",Swimming Pool,0,,,93.6999969482422,93.6999969482422,190.399993896484,190.399993896484,"12,175,522","12,177,365","5,704,005","1,555,010.375","5,305,695.3995","11,658.2099609375","1,165,820.99609375",387.098103571101,3.72528513411574,N,Compliant,
23,2017,NonResidential,Hotel,Renaissance Seattle Hotel,515 Madison Street,Seattle,WA,98104,0942000430,7,DOWNTOWN,47.60681,-122.33078,1983,1,28,"416,281","85,000","331,281","Hotel, Parking",Hotel,"348,329",Parking,"85,000",,,,37,97.50,95.6999969482422,226.699996948242,222.300003051758,"33,959,408","33,326,178",,"6,071,429.5","20,715,717.454","132,436.859375","13,243,685.9375",789.075313536675,1.89553525992461,N,Compliant,
24,2017,NonResidential,Mixed Use Property,The Rainier Club,820 4th Ave.,Seattle,WA,98104,0942000510,7,DOWNTOWN,47.60515,-122.33159,1907,1,5,"57,452",0,"57,452","Office, Other, Other - Lodging/Residential, Restaurant, Social/Meeting Hall",Social/Meet,"16,442",Restaurant,"15,505",Office,"9,741",,,129.100006103516,128.300003051758,263.799987792969,262.899993896484,"7,418,679","7,371,858","1,574,400.875","998,932.8125","3,408,358.75625","24,359.19140625","2,435,919.140625",227.169277698101,3.95407083649135,N,Compliant,
25,2017,NonResidential,Hotel,Arctic Club Seattle,700 3rd Ave,Seattle,WA,98104,0942000610,7,DOWNTOWN,47.60376,-122.33194,1916,1,10,"104,352",0,"104,352",Hotel,Hotel,"104,352",,,,,,53,85.0999984741211,85.0999984741211,205.100006103516,205.100006103516,"8,884,319","8,884,319","2,744,007.25","1,634,083","5,575,491.196","5,648.2001953125","564,820.01953125",198.938412176968,1.90641686002154,N,Compliant,
26,2017,NonResidential,Other,King County Courthouse,516 3RD AVE,Seattle,WA,98104,0942000860,7,DOWNTOWN,47.60265,-122.33051,1916,1,10,"540,360",0,"540,360",Courthouse,Courthouse,"537,150",,,,,,75,91.00,89.5999984741211,192.00,190.50,"48,880,476","48,101,932",,"7,263,115.5","24,781,750.086","240,987.21875","24,098,721.875","1,382.40788693177",2.55830906605184,N,Compliant,
27,2017,NonResidential,Other,King County Correctional Facility,500 5TH AVE,Seattle,WA,98104,0942001010,3,DOWNTOWN,47.60378,-122.32842,1985,1,19,"385,274",0,"385,274",Other,Other,"385,274",,,,,,,124.00,123.00,210.199996948242,209.199996948242,"47,756,124","47,386,200",,"4,324,419","14,754,917.628","330,012.03125","33,001,203.125","1,813.73658073494",4.70765372367443,N,Compliant,
28,2017,SPS-District K-12,K-12 School,Graham Hill Elementary,5149 S. Graham St.,Seattle,WA,98118,1102000138,2,SOUTHEAST,47.54576,-122.26853,1961,1,2,"56,228",0,"56,228",K-12 School,K-12 School,"58,916",,,,,,95,28.6000003814697,27.7999992370605,61.5999984741211,60.9000015258789,"1,682,550.25","1,639,540.625",,"261,348.5","891,721.082","7,908.2900390625","790,829.00390625",45.6900745178808,0.812585802765184,N,Compliant,
29,2017,NonResidential,Hotel,WATERTOWN HOTEL,4242 ROOSEVELT WAY NE,Seattle,WA,98105,1142000755,4,NORTHEAST,47.65959,-122.31755,2001,1,6,"88,592","30,586","58,006","Hotel, Parking",Hotel,"67,770",Parking,"30,586",,,,90,57.00,56.00,131.199996948242,128.800003051758,"3,863,650","3,791,958.5",,"677,983.8125","2,313,280.76825","15,503.689453125","1,550,368.9453125",91.9103862754807,1.03745695181823,N,Compliant,
30,2017,NonResidential,University,Main Campus Center,1000 Lenora St.,Seattle,WA,98121,0660001420,7,DOWNTOWN,47.61816,-122.33629,1928,1,7,"126,593",0,"126,593",College/University,College/Uni,"125,000",,,,,,,97.3000030517578,97.4000015258789,181.50,181.600006103516,"12,163,565","12,169,801",,"1,391,368","4,747,347.616","74,162.171875","7,416,217.1875",413.515583022916,3.26649643363311,N,Compliant,
31,2017,NonResidential,Other,Seattle Honda,1015 & 1017 Olive Way,Seattle,WA,98101,0660001725,7,DOWNTOWN,47.615,-122.33081,1930,1,2,"67,224",0,"67,224",Automobile Dealership,Automobile,"67,224",,,,,,,0.00,0.00,0.00,0.00,0,0,,0,0,,,0.00,0.000,N,Not Compliant,
32,2017,NonResidential,Hotel,Homewood Suites,1011 Pike ST,Seattle,WA,98101,0660001832,7,EAST,47.61301,-122.32929,1991,1,8,"158,676","30,301","128,375","Hotel, Parking, Retail Store, Swimming Pool",Hotel,"112,676",Parking,"42,000",Retail Store,"4,500",,,45.7000007629395,45.7000007629395,56.7999992370605,56.7999992370605,"5,351,128","5,351,723.5",,"145,319.703125","495,830.8270625","48,552.97265625","4,855,297.265625",259.916143290879,1.63803059877284,Y,Not Compliant,
33,2017,NonResidential,Hotel,Marriott Springhill Suites,1800 Yale Ave,Seattle,WA,98101,0660002680,7,DOWNTOWN,47.61784,-122.32966,2001,1,10,"171,866","38,281","133,585",Hotel,Hotel,"128,909",,,,,,58,89.8000030517578,88.1999969482422,186.600006103516,183.300003051758,"11,581,091","11,364,507",,"1,668,840.375","5,694,083.3595","58,870.06640625","5,887,006.640625",336.215958576401,1.95626801447873,N,Compliant,
34,2017,SPS-District K-12,K-12 School,Meany Building,301/300 21st Ave. E.,Seattle,WA,98112,0688000090,3,Central,47.62266,-122.30547,1955,1,1,"126,351",0,"126,351",K-12 School,K-12 School,"126,351",,,,,,99,27.3999996185303,27.3999996185303,41.50,41.50,"3,468,018.75","3,462,376.5",,"225,068.5","767,933.722","27,000.849609375","2,700,084.9609375",146.578536760336,1.16009004092042,Y,Not Compliant,
35,2017,NonResidential,Hotel,Hotel Five,2200 5th ave,Seattle,WA,98121,0697000170,7,DOWNTOWN,47.61558,-122.34186,1978,1,5,"68,410","16,200","52,210","Hotel, Parking",Hotel,"52,210",Parking,"15,400",,,,71,83.8000030517578,83.00,184.699996948242,182.100006103516,"4,376,607","4,332,159",,"708,199.5","2,416,376.694","19,602.298828125","1,960,229.8828125",114.104619610414,1.66795234045335,N,Compliant,
36,2017,SPS-District K-12,K-12 School,Jane Addams Middle,11051 34th Ave. N.E.,Seattle,WA,98125,0752000170,5,NORTH,47.70994,-122.29301,1949,1,2,"160,645",0,"160,645",K-12 School,K-12 School,"164,229",,,,,,70,48.00,46.4000015258789,74.50,72.8000030517578,"7,890,891.5","7,620,227.5",,"554,486.875","1,891,909.2175","59,989.8203125","5,998,982.03125",326.432967798601,2.03201449032713,Y,Not Compliant,
37,2017,SPS-District K-12,K-12 School,John Hay Elementary,201 Garfield St.,Seattle,WA,98109,0809000005,7,MAGNOLIA / QUEEN ANNE,47.6329,-122.35172,1989,1,2,"51,582",0,"51,582",K-12 School,K-12 School,"55,166",,,,,,96,26.6000003814697,26.6000003814697,83.50,83.5999984741211,"1,467,507","1,468,128.75",,"430,101.6875","1,467,506.95775",,,6.07123427846976,0.117700637401996,N,Compliant,
38,2017,NonResidential,Small- and Mid-Sized Office,Good Shepherd Center,4649 Sunnyside Ave. N.,Seattle,WA,98070,0825049102,1,LAKE UNION,47.6641,-122.33118,1906,1,3,"87,262",0,"87,262","K-12 School, Multifamily Housing, Office, Other - Entertainment/Public Assembly",Office,"40,943",K-12 School,"18,153",Other - Entertainment/Public Assembly,"4,307",,,67.0999984741211,65.4000015258789,108.50,106.800003051758,"4,523,929","4,410,662.5",,"359,794.8125","1,227,619.90025","32,963.08984375","3,296,308.984375",180.145765855106,2.06442398587135,N,Compliant,
40,2017,NonResidential,Hotel,Silver Cloud University,5036 25th Ave NE,Seattle,WA,98105,0925049117,4,NORTHEAST,47.66583,-122.29965,1994,1,4,"81,871",0,"81,871",Hotel,Hotel,"81,871",,,,,,28,87.6999969482422,86.50,173.899993896484,170.399993896484,"7,177,935","7,085,024.5",,"940,105.625","3,207,640.3925","39,702.9453125","3,970,294.53125",224.132696198399,2.73763232644525,N,Compliant,
41,2017,NonResidential,Self-Storage Facility,08781-University Village,2746 Ne 45th St Suite 100,Seattle,WA,98105,0925049330,4,NORTHEAST,47.66172,-122.29598,1955,1,2,"110,356",0,"110,356",Self-Storage Facility,Self-Storag,"26,225",,,,,,,11.1999998092651,11.1999998092651,31.2000007629395,31.2000007629395,"294,099.1875","293,061.59375",,"71,600","244,299.2",498.00,"49,800.00",3.65557009206122,0.0331252500277395,N,Compliant,
43,2017,Campus,Mixed Use Property,Plant 2 Site,7755 E MARGINAL WAY S,Seattle,WA,98108,0022000005,2,GREATER DUWAMISH,47.53493,-122.31788,1992,1,3,"494,835",0,"494,835","Energy/Power Station, Laboratory, Manufacturing/Industrial Plant, Non-Refrigerated Warehouse, Office",Office,"757,027",Laboratory,"639,931",Non-Refrigerated Warehouse,"459,748",,,286.399993896484,286.50,468.50,468.600006103516,"579,302,208","579,556,160",,"47,596,328","162,398,671.136","4,169,035.00","416,903,500.00","22,813.6056716027",46.1034600858926,N,Compliant,
46,2017,Campus,Warehouse,Seattle 11-13,3301 S NORFOLK ST,Seattle,WA,98118,0323049024,2,GREATER DUWAMISH,47.51138,-122.28875,1961,3,2,"714,095",0,"714,095","Non-Refrigerated Warehouse, Office, Refrigerated Warehouse",Non-Refrige,"616,000",Refrigerated Warehouse,"276,000",Office,"71,000",,,47.00,46.9000015258789,147.600006103516,147.399993896484,"45,259,796","45,199,188",,"13,264,886","45,259,791.032",,,187.244628244323,0.262212490276957,N,Compliant,
50,2017,SPS-District K-12,K-12 School,Lawton Elementary,4000 27th Ave. W.,Seattle,WA,98199,0369000400,7,MAGNOLIA / QUEEN ANNE,47.65671,-122.39047,1990,1,2,"54,986",0,"54,986",K-12 School,K-12 School,"54,986",,,,,"2,016",97,31.50,31.1000003814697,79.3000030517578,78.9000015258789,"1,733,154","1,712,583.75",,"356,143.3125","1,215,160.98225","5,179.93017578125","517,993.017578125",32.5378609734099,0.591748099032662,N,Compliant,
51,2017,SPS-District K-12,K-12 School,Eckstein Middle,3003 N.E. 75th St.,Seattle,WA,98115,0425049022,4,NORTHEAST,47.68252,-122.29498,1950,1,2,"175,565",0,"175,565",K-12 School,K-12 School,"182,861",,,,,,91,41.50,40.7999992370605,61.9000015258789,61.2000007629395,"7,584,022","7,469,367",,"469,520.90625","1,602,005.332125","59,820.16796875","5,982,016.796875",324.332580615611,1.8473646832547,N,Compliant,
52,2017,NonResidential,Small- and Mid-Sized Office,SBC52,5305 Shilshole Ave NW,Seattle,WA,98107,0467000429,6,BALLARD,47.66587,-122.38476,1961,1,2,"94,900",0,"94,900","Non-Refrigerated Warehouse, Office",Office,"55,586",Non-Refrigerated Warehouse,"39,314",,,,58,70.50,69.3000030517578,167.50,166.100006103516,"6,693,368.5","6,573,501.5",,"1,243,461.875","4,242,691.9175","24,506.76171875","2,450,676.171875",147.7078847263,1.55645821629399,N,Compliant,
53,2017,NonResidential,Small- and Mid-Sized Office,El Centro de la Raza,2524 16th Ave S,Seattle,WA,98144,0570000340,2,GREATER DUWAMISH,47.58034,-122.31132,1900,1,2,"52,554",0,"52,554","Office, Other - Education",Office,"51,029",Other - Education,"7,849",,,,95,40.7999992370605,40.2000007629395,76.9000015258789,76.1999969482422,"2,404,192.5","2,366,052.75",,"280,878.5","958,357.442","14,458.349609375","1,445,834.9609375",80.7531226913126,1.53657424156701,N,Compliant,
54,2017,NonResidential,K-12 School,Blanchet High School,8200 Wallingford Ave. N,Seattle,WA,98103,0625049002,6,NORTHWEST,47.68891,-122.33553,1954,1,3,"175,015",0,"175,015",K-12 School,K-12 School,"175,015",,,,,,92,48.9000015258789,47.50,83.5999984741211,82.0999984741211,"8,565,306","8,315,324",,"791,119.375","2,699,299.3075","58,660.05859375","5,866,005.859375",322.71086303762,1.84390402558421,N,Compliant,
55,2017,NonResidential,Self-Storage Facility,Vine Street,11 Vine Street,Seattle,WA,98121,0653000225,7,DOWNTOWN,47.61351,-122.35129,1911,1,3,"70,586",0,"70,586","Office, Self-Storage Facility, Vocational School",Self-Storag,"38,439",Vocational School,"28,197",Office,"3,859",,,27.50,26.7999992370605,65.5999984741211,64.9000015258789,"1,938,035.875","1,889,896",,"363,233.1875","1,239,351.63575","6,986.83984375","698,683.984375",42.2344375579277,0.598340146175272,N,Compliant,
56,2017,NonResidential,Hotel,Seattle Hilton Hotel,1301 Sixth Ave,Seattle,WA,98101,1975700040,7,DOWNTOWN,47.60946,-122.33337,1969,1,24,"332,210","205,970","126,240",Hotel,Hotel,"348,630",,,,,,84,43.9000015258789,,100.400001525879,,"15,316,728",,,"2,651,372","9,046,481.264","62,702.4609375","6,270,246.09375",370.439036987562,1.11507491342091,N,Compliant,
57,2017,NonResidential,Large Office,5th and Pine,413 Pine Street,Seattle,WA,98101,1975700200,7,DOWNTOWN,47.6113,-122.33659,1973,1,5,"168,115",0,"168,115","Data Center, Office, Retail Store",Office,"103,362",Retail Store,"65,676",Data Center,493,"201,820,172,016",85,56.4000015258789,55.50,177.199996948242,174.100006103516,"9,567,585","9,402,433",,"2,804,098.5","9,567,584.082",,,39.5821254093676,0.235446720455448,N,Compliant,
58,2017,NonResidential,Other,1525 4th Avenue,1525 4th Ave,Seattle,WA,98101,1975700365,7,DOWNTOWN,47.61076,-122.33765,1920,1,2,"57,428",0,"57,428","Other - Mall, Personal Services (Health/Beauty, Dry Cleaning, etc)",Other - Mal,"51,747","Personal Services (Health/Beauty, Dry Cleaning, etc)","5,681",,,,,20.2999992370605,20.2999992370605,46.7000007629395,46.7000007629395,"1,164,053.75","1,164,053.75",,"204,854","698,961.848","4,650.919921875","465,091.9921875",27.5927161216579,0.480474962068292,N,Compliant,
59,2017,NonResidential,Small- and Mid-Sized Office,Gibraltar Tower,1520 3rd Ave,Seattle,WA,98101,1975700380,7,DOWNTOWN,47.61048,-122.33794,1910,1,8,"59,400",0,"59,400","Office, Retail Store",Office,"49,958",Retail Store,"5,000",,,,44,67.6999969482422,67.6999969482422,212.50,212.50,"3,720,013","3,720,013",,"1,090,273.375","3,720,012.7555",,,15.39009327231,0.259092479331818,N,Compliant,
60,2017,NonResidential,Mixed Use Property,Mann Building,1401 3rd Avenue,Seattle,WA,98101,1975700525,7,DOWNTOWN,47.60886,-122.33744,1926,1,2,"52,549",0,"52,549","Office, Other - Entertainment/Public Assembly, Restaurant",Other - Ent,"23,500",Restaurant,"23,500",Office,"5,459",,,307.600006103516,304.50,510.00,506.399993896484,"16,138,114","15,974,657",,"1,375,184","4,692,127.808","114,459.859375","11,445,985.9375",627.308151044663,11.9375849406204,N,Compliant,
62,2017,NonResidential,Hotel,Roosevelt Hotel,1531 7th Ave,Seattle,WA,98101,1976700010,7,DOWNTOWN,47.61233,-122.33432,1930,1,20,"98,634","10,043","88,591","Hotel, Parking, Restaurant",Hotel,"83,591",Parking,"10,043",Restaurant,"5,000",,75,55.00,54.0999984741211,157.699996948242,154.899993896484,"4,871,794","4,791,904",,"1,241,855.875","4,237,212.2455","6,345.81005859375","634,581.005859375",51.2324004661951,0.519419271916328,N,Compliant,
63,2017,Campus,Hotel,Sheraton Seattle Hotel,1400 6th Avenue,Seattle,WA,98101,1976700095,7,DOWNTOWN,47.61087,-122.33339,1982,1,34,"1,083,197","156,583","926,614","Hotel, Parking, Swimming Pool",Hotel,"994,212",Parking,"117,668",Swimming Pool,0,,62,86.4000015258789,85.9000015258789,192.00,191.399993896484,"85,870,096","85,364,488","12,991,603","13,839,272","47,219,596.064","256,588.90625","25,658,890.625","2,248.74399690328",2.07602494920433,N,Compliant,
65,2017,NonResidential,Hotel,Inn at the Market,86 Pine St,Seattle,WA,98101,1977200050,7,DOWNTOWN,47.60997,-122.34138,1985,1,7,"71,150",0,"71,150","Hotel, Parking, Restaurant, Retail Store",Hotel,"41,340",Parking,"13,730",Retail Store,"9,604",,98,94.00,94.00,215.800003051758,215.800003051758,"5,397,353.5","5,397,353.5",,"943,223.125","3,218,277.3025","21,790.759765625","2,179,075.9765625",129.045084800804,1.81370463528888,N,Compliant,
66,2017,NonResidential,Hotel,Moore Hotel INC,1926 2nd Ave,Seattle,WA,98101,1977201035,7,DOWNTOWN,47.61155,-122.34114,1908,1,7,"122,810",0,"122,810","Hotel, Other - Entertainment/Public Assembly, Retail Store",Hotel,"88,360",Other - Entertainment/Public Assembly,"26,450",Retail Store,"8,000",,98,52.50,51.00,78.1999969482422,76.5999984741211,"6,445,936.5","6,263,231.5",,"397,251.8125","1,355,423.18425","50,905.1328125","5,090,513.28125",275.964692007561,2.24708649138963,N,Compliant,
67,2017,NonResidential,Hotel,QUALITY INN,618 JOHN ST,SEATTLE,WA,98109,1991200730,7,LAKE UNION,47.61986,-122.34413,1959,1,5,"113,173","42,546","70,627","Hotel, Parking",Hotel,"70,627",Parking,"42,546",,,,86,78.1999969482422,76.50,173.100006103516,167.800003051758,"5,524,202.5","5,403,693",,"901,151.375","3,074,728.4915","24,494.73828125","2,449,473.828125",142.812037811476,1.26189142120007,N,Compliant,
68,2017,NonResidential,Hotel,Rainier Hospitality,211 Dexter Ave N,Seattle,WA,98109,1991200935,7,LAKE UNION,47.62001,-122.34274,2000,1,7,"150,453","34,735","115,718",Hotel,Hotel,"110,547",,,,,"2,014",84,63.9000015258789,63.00,135.300003051758,132.699996948242,"7,067,429.5","6,964,738",,"1,057,409.625","3,607,881.6405","34,595.47265625","3,459,547.265625",198.662750054675,1.32043063318561,N,Compliant,
69,2017,NonResidential,Hotel,Sequim Lodging Corp,226 Aurora Ave N,Seattle,WA,98109,1991200940,7,LAKE UNION,47.62025,-122.34314,1997,1,6,"116,300","28,200","88,100",Hotel,Hotel,"88,490",,,,,,82,66.9000015258789,66.00,146.899993896484,144.00,"5,923,139","5,840,688.5",,"950,685.1875","3,243,737.85975","26,794.009765625","2,679,400.9765625",155.722678617273,1.33897402078481,N,Compliant,
70,2017,NonResidential,Hotel,Homewood Suites by Hilton Seattle Downtonw,206 Western Ave West,Seattle,WA,98119,1992200235,7,MAGNOLIA / QUEEN ANNE,47.62023,-122.35951,1998,1,6,"155,602","36,744","118,858",Hotel,Hotel,"155,602",,,,,,85,45.2999992370605,44.4000015258789,107.800003051758,105.00,"7,048,202","6,909,994.5",,"1,314,385.5","4,484,683.326","25,635.1796875","2,563,517.96875",154.702057068496,0.99421637940705,N,Compliant,
73,2017,NonResidential,K-12 School,Seattle Hebrew Academy,1617 Interlaken Drive East,Seattle,WA,98136,2125049015,3,EAST,47.63442,-122.30793,1911,1,3,"56,072",0,"56,072",K-12 School,K-12 School,"56,072",,,,,,70,64.0999984741211,62.2999992370605,87.9000015258789,86.00,"3,595,219.75","3,495,458",,"161,810.90625","552,098.812125","30,431.208984375","3,043,120.8984375",163.90424314166,2.92310320911792,N,Compliant,
77,2017,NonResidential,Hotel,Comfort Suites Seattle Center,601 Roy St,Seattle,WA,98109,2249000170,7,MAGNOLIA / QUEEN ANNE,47.62519,-122.34456,1999,1,4,"122,942","44,891","78,051","Hotel, Parking",Hotel,"78,051",Parking,"44,891",,,,93,72.50,71.6999969482422,144.00,141.300003051758,"5,659,957.5","5,595,112.5",,"742,245.375","2,532,541.2195","31,274.16015625","3,127,416.015625",176.574460272546,1.43624196997402,N,Compliant,
