BuildingID,DataYear,BuildingType,City,State,ZipCode,YearBuilt,PropertyGFATotal,LargestPropertyUseType,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu)
1,2016,NonResidential,Seattle,WA,98101,1927,88434,Hotel,81.69999695,84.30000305,182.5,189.0,7226362.5,7456910.0,2003882.0,3946027,1276453
2,2016,NonResidential,Seattle,WA,98101,1996,103566,Hotel,94.80000305,97.90000153,176.1000061,179.3999939,8387933.0,8664479.0,0.0,3242851,5145082
3,2016,NonResidential,Seattle,WA,98101,1969,956110,Hotel,96.0,97.69999695,241.89999390000003,244.10000609999997,72587024.0,73937112.0,21566554.0,49526664,1493800
5,2016,NonResidential,Seattle,WA,98101,1926,61320,Hotel,110.8000031,113.3000031,216.1999969,224.0,6794584.0,6946800.5,2214446.25,2768924,1811213
8,2016,NonResidential,Seattle,WA,98121,1980,175580,Hotel,114.8000031,118.6999969,211.39999390000003,215.60000609999997,14172606.0,14656503.0,0.0,5368607,8803998
9,2016,Specialty,Seattle,WA,98101,1999,97288,Police Station,136.1000061,141.6000061,316.2999878,320.5,12086616.0,12581712.0,0.0,7371434,4715182
10,2016,NonResidential,Seattle,WA,98101,1926,83008,Hotel,70.80000305,74.5,146.6000061,154.6999969,5758795.0,6062767.5,0.0,2811215,2947580
11,2016,NonResidential,Seattle,WA,98101,1926,102761,Other - Entertainment/Public Assembly,61.29999924,68.80000305,141.6999969,152.3000031,6298131.5,7067881.5,2276286.5,3636655,385189
12,2016,NonResidential,Seattle,WA,98104,1904,163984,Hotel,83.69999695,86.59999847,180.8999939,187.1999969,13723820.0,14194054.0,0.0,7297919,6425900
13,2016,Residential,Seattle,WA,98104,1910,63712,Multifamily Housing,81.5,85.59999847,182.6999969,187.3999939,4573777.0,4807679.5,1039735.188,2532015,1002026
15,2016,NonResidential,Seattle,WA,98101,1969,153163,Hotel,119.5999985,124.3000031,228.1999969,233.0,16016644.0,16646930.0,5237165.5,6187627,4591850
16,2016,NonResidential,Seattle,WA,98101,1998,333176,Hotel,80.0,80.40000153,199.0,199.3999939,26941110.0,27070114.0,5999360.5,18083049,2858700
17,2016,NonResidential,Seattle,WA,98104,1928,65009,Hotel,101.5,97.80000305,153.6000061,149.8000031,6596057.5,6358719.5,1656352.5,1343000,3596705
18,2016,NonResidential,Seattle,WA,98101,1980,315952,Hotel,75.5,76.19999695,179.8999939,180.6999969,22325364.0,22524948.0,4337738.5,13904183,4083440
19,2016,NonResidential,Seattle,WA,98101,1922,92190,Hotel,159.5,165.8999939,297.39999389999997,303.89999389999997,10750010.0,11179203.0,4870847.5,3832369,2046793
21,2016,Specialty,Seattle,WA,98154,2004,412000,Library,50.79999924,51.09999847,155.6000061,156.0,18588860.0,18706912.0,737559.5,17851297,0
22,2016,NonResidential,Seattle,WA,98104,1930,103911,Fitness Center/Health Club/Gym,76.59999847,78.40000153,157.3999939,159.6000061,9956396.0,10192124.0,4592347.5,4453868,910180
23,2016,NonResidential,Seattle,WA,98104,1983,416281,Hotel,96.30000305,98.59999847,228.5,232.8000031,33556756.0,34351920.0,0.0,21225277,12331475
24,2016,NonResidential,Seattle,WA,98104,1907,57452,Social/Meeting Hall,132.3999939,137.1000061,280.7000122,285.0,7606084.5,7877219.0,1776201.875,3764791,2065091
