electricity_use_kbtu,objectid,street_address,property_name,opa_account_num,postal_code,num_of_buildings,year_built,primary_prop_type_epa_calc,total_floor_area_bld_pk_ft2,portfolio_manager_id,natural_gas_use_kbtu,fuel_oil_o2_use_kbtu,steam_use_kbtu,energy_star_score,site_eui_kbtuft2,source_eui_kbtuft2,water_use_all_kgal,total_ghg_emissions_mtco2e,notes
22205732.7,5260,233-43 S BROAD ST,Doubletree Hotel,883702001,19107,1,1983,Hotel,565764,3774262,10622801.8,,,78,58,143,23640.1,3110.8,
1160875,6195,700-50 CATHEDRAL RD,Cathedral East Apartments,881088500,19128,1,1964,Multifamily Housing,92156,5140660,4181930.1,,,84,58,87.2,2190.6,355.3,
680100.7,6119,8020 ALGON AVE,8020 Algon,881183500,19152,1,1964,Multifamily Housing,50840,5029250,1824667.9,,,95,49.3,79.7,1021.8,174.9,
1564263.5,4993,926-76 E CHELTEN AVE,Pastorius,785099400,19138,1,1967,K-12 School,75318,3337464,2648097,,,86,55.9,102.1,3146.3,320,
584826.7,5327,6951 NEW STATE RD,MARJAM SUPPLY,884182000,19135,1,1945,Distribution Center,106400,3813146,467121.4,,,91,9.9,21.9,612.2,91.9,
7541246.8,5586,1114 POLETT WALK,ANDERSON,777568800,19122,1,2000,College/University,207802,3965855,144,,6839852.5,,108.1,192.5,716.8,1745.2,
8698075.1,5040,1101-53 CHESTNUT ST,Girard Square (South),883401600,19107,2,1896,Office,271115,3619714,,,18451119.2,,100.1,182.6,3615.2,2222.6,
7789811,4953,11081 KNIGHTS RD,Rush,786249200,19154,1,1980,K-12 School,173550,3490893,5043928.4,,,19,73.9,171.5,1480,1161.2,
1871533.2,5826,1620 KITTY HAWK AVE,"Urban Outfitters, Inc. - Building #017, 014",NA,19112,1,1916,Office,48129,4471836,2265040.2,,,78,85.9,171.5,245.4,334.9,
958557.4,6108,1500 S 32ND ST,Alcorn,782843800,19146,1,1932,K-12 School,63000,4126297,4971239.2,,,51,94.1,130.6,327.2,374,
3090067.6,5600,19 S 22ND ST,College of Physicians,772525500,19103,1,1909,Museum,68967,3970936,,,3520616.3,,95.9,202.1,786.7,588.1,
40396919.9,5430,1301-19 FILBERT ST,Criminal Justice Center (CJC),781092450,19107,1,1994,Courthouse,600000,4830342,9527137.2,0,1597588.5,56,85.9,231.3,19507.2,5244.8,
4873233.4,5091,1015 WALNUT ST,Curtis Building,771020000,19107,1,1928,Office,136566,3642349,5643,,7835028,40,154.8,242.8,5563.3,1523.5,
64326538.4,4722,1301-25 CHESTNUT ST,The Wanamaker Building,882497505,19107,1,1902,Office,1706638,1619606,940278.1,,13679269.7,86,56.8,157.9,26564.6,8335.2,
82922552.5,4726,1735 MARKET ST,"1735 MARKET STREET - OFFICE, Site # 602850",883053525,19103,1,1990,Office,1503469,1750728,135218.9,,1373546.8,77,59.7,185.5,20516.8,9607.9,
106777072.8,4728,1701 JOHN F KENNEDY BLVD,L61864 - 1701 JFK Blvd,883056605,19103,1,2008,Office,1538959,1767519,3208855.2,,21467145.9,85,85.4,236.8,32463.8,13841,
36962400.7,4731,1200 MARKET ST,Loews Philadelphia Hotel,883705320,19107,1,1932,Hotel,735000,1946616,6770955.2,,18611608.6,46,95.9,223.9,22428.6,5834.3,
101764913.1,4745,801-49 PINE ST,Pennsylvania Hospital,771002000,19104,9,1756,Hospital (General Medical & Surgical),873226,2561862,978055.4,,114218813.6,37,248.5,524.5,85039.9,19306.3,
,4930,21 S 12TH ST,21 S. 12th,883017910,19107,1,1896,Office,107728,3578915,,,,,,,2569.2,0,
52660569.2,4746,101 N INDEPENDENCE MALL E,140399 Plaza,883014510,19106,1,1972,Office,601165,2669173,225000,,23523053.8,65,144.1,363.4,14656,7668.9,
266653088.6,4750,3400 SPRUCE ST,Hospital of the University of Pennsylvania,773009000,19104,9,1913,Hospital (General Medical & Surgical),1791804,2848103,2138802.4,,282634740.4,7,307.7,658.3,122094.9,49459.8,
105708332.1,4758,3800 POWELTON AVE,Penn Presbyterian Medical Center,774002001,19104,10,1922,Hospital (General Medical & Surgical),1143882,2867268,89915572.5,,9287821.8,55,199.4,425.6,59522.3,17515.1,
1594075.1,4879,1645 SPRING GARDEN ST,Masterman,782513600,19130,1,1933,K-12 School,105000,3330813,192029.6,,4851446.3,75,63.2,105.2,658.2,515.1,
2136428.6,4882,620-34 N 15TH ST,Franklin Learning Center,782640200,19130,1,1909,K-12 School,150000,3330819,300011.7,,8030076.7,73,69.8,111.2,718,794.1,
4377575.5,4802,233-55 S 8TH ST,Hall Mercer at PAH,771004000,19106,1,1980,Medical Office,70902,3107955,52.1,,2751592.3,60,100.6,240.6,1892.4,684.7,
27093757.1,4806,1801 SOUTH ST,Penn Medicine At Rittenhouse,772032010,19146,1,1980,Hospital (General Medical & Surgical),272165,3117180,667505.6,,14534635.1,64,155.4,379.4,12318,4107.6,
19087273.9,4999,23-31 N JUNIPER ST,311qp-Philadelphia - Downtown,883704700,19107,1,1999,Hotel,440000,3351492,1130100,,21752423.5,56,95.4,198.4,19235,3693.3,
